person	organization	position	notes	g_e
Trotter / Lloyd G.	PepsiCo			m-B
Vasella / Daniel	PepsiCo			m-W
Burwell / Sylvia Mathews	MetLife			f-W
Castro-Wright / Eduardo	MetLife			m-L
Grise / Cheryl W.	MetLife			f-W
Henrikson / C. Robert	MetLife			m-W
Hubbard / R. Glenn	MetLife			m-W
Keane / John M.	MetLife			m-W
Kelly / James P.	MetLife			m-W
Kilts / James M.	MetLife			m-W
Kinney / Catherine R.	MetLife			f-W
Price / Hugh B.	MetLife			m-B
Satcher / David	MetLife			m-B
Sicchitano / Kenton J.	MetLife			m-W
Wang / Lulu C.	MetLife			f-A
Burd / Steven A.	Safeway			m-W
Grove / Janet E.	Safeway			f-W
Gyani / Mohan	Safeway			m-A
Hazen / Paul	Safeway			m-W
Herringer / Frank C.	Safeway			m-W
Oder / Kenneth W.	Safeway			m-W
Sarin / Arun	Safeway			m-A
Shannon / Michael S.	Safeway			m-W
Tauscher / William Y.	Safeway			m-W
Banga / Ajaypal Singh	Kraft Foods			m-A
Hart / Myra M.	Kraft Foods			f-W
Juliber / Lois D.	Kraft Foods			f-W
Ketchum / Mark D.	Kraft Foods			m-W
Lerner / Richard A.	Kraft Foods			m-W
McDonald / Mackey J.	Kraft Foods			m-W
Pope / John C.	Kraft Foods			m-W
Reynolds / Fredric G.	Kraft Foods			m-W
Rosenfeld / Irene B.	Kraft Foods			f-W
van Boxmeer / Jean-Francois M. L.	Kraft Foods			m-W
Wright / Deborah C.	Kraft Foods			f-B
Zarb / Frank G.	Kraft Foods			m-W
Alexander / Barbara T.	Freddie Mac			f-W
Bammann / Linda B.	Freddie Mac			f-W
Byrd / Carolyn H.	Freddie Mac			f-B
Glauber / Robert R.	Freddie Mac			m-W
Haldeman / Charles Jr.	Freddie Mac			m-W
Hirsch / Laurence E.	Freddie Mac			m-W
Johnson / Thomas S.	Freddie Mac			m-W
Koskinen / John A.	Freddie Mac			m-W
Lewis / William M. Jr.	Freddie Mac			m-B
Lynch / Christopher S.	Freddie Mac			m-W
Retsinas / Nicolas P.	Freddie Mac			m-W
Rose / Clayton S.	Freddie Mac			m-W
Shanks / Eugene B. Jr.	Freddie Mac			m-W
Williams / Anthony A.	Freddie Mac			m-B
Cassaday / John M.	Sysco			m-W
Craven / Judith B.	Sysco			f-B
Delaney / William J.	Sysco			m-W
Fernandez / Manuel A.	Sysco			m-L
Glasscock / Larry C.	Sysco			m-W
Golden / Jonathan	Sysco			m-W
Hafner / Joseph A. Jr.	Sysco			m-W
Koerber / Hans-Joachim	Sysco			m-W
Newcomb / Nancy S.	Sysco			f-W
Sewell / Phyllis Shapiro	Sysco			f-W
Tilghman / Richard G.	Sysco			m-W
Ward / Jackie M.	Sysco			f-W
Campbell / William V.	Apple			m-W
Drexler / Millard S.	Apple			m-W
Gore / Albert Jr.	Apple			m-W
Jobs / Laurene Powell	Apple			f-W
Jobs / Steven P.	Apple			m-W
Jung / Andrea	Apple			f-A
Levinson / Arthur D.	Apple			m-W
Schmidt / Eric	Apple			m-W
Sugar / Ronald D.	Apple			m-W
Arnold / Susan E.	Walt Disney			f-W
Bryson / John E.	Walt Disney			m-W
Chen / John S.	Walt Disney			m-A
Estrin / Judith	Walt Disney			f-W
Iger / Robert A.	Walt Disney			m-W
Jobs / Steven P.	Walt Disney			m-W
Langhammer / Fred	Walt Disney			m-W
Lewis / Aylwin B.	Walt Disney			m-B
Lozano / Monica C.	Walt Disney			f-L
Matschullat / Robert W.	Walt Disney			m-W
Pepper / John E.	Walt Disney			m-W
Sandberg / Sheryl K.	Walt Disney			f-W
Smith / Orin C.	Walt Disney			m-W
Bartz / Carol	Cisco Systems			f-W
Burns / Michele M.	Cisco Systems			f-W
Capellas / Michael D.	Cisco Systems			m-W
Carter / Larry R.	Cisco Systems			m-W
Chambers / John T.	Cisco Systems			m-W
Halla / Brian	Cisco Systems			m-W
Hennessy / John L.	Cisco Systems			m-W
Kovacevich / Richard M.	Cisco Systems			m-W
Mcgeary / Roderick C.	Cisco Systems			m-W
Powell / Dennis D.	Cisco Systems			m-W
Sarin / Arun	Cisco Systems			m-A
West / Steven M.	Cisco Systems			m-W
Yang / Jerry	Cisco Systems			m-A
Anstrom / S. Decker	Comcast			m-W
Bacon / Kenneth J.	Comcast			m-B
Bonovitz / Sheldon M.	Comcast			m-W
Breen / Edward D.	Comcast			m-W
Brodsky / Julian A.	Comcast			m-W
Collins / Joseph J.	Comcast			m-W
Cook / J. Michael	Comcast			m-W
Hassell / Gerald L.	Comcast			m-W
Honickman / Jeffrey A.	Comcast			m-W
Roberts / Brian L.	Comcast			m-W
Roberts / Ralph J.	Comcast			m-W
Rodin / Judith	Comcast			f-W
Sovern / Michael I.	Comcast			m-W
Barksdale / James L.	FedEx			m-W
Edwardson / John A.	FedEx			m-W
Hyde / Joseph R. III	FedEx			m-W
Jackson / Shirley Ann	FedEx			f-B
Loranger / Steven R.	FedEx			m-W
Loveman / Gary W.	FedEx			m-W
Schwab / Susan C.	FedEx			f-W
Smith / Frederick Wallace	FedEx			m-W
Smith / Joshua I.	FedEx			m-B
Steiner / David P.	FedEx			m-W
Walsh / Paul S.	FedEx			m-W
Bush / Wesley G.	Northrop Grumman			m-W
Coleman / Lewis W.	Northrop Grumman			m-W
Fargo / Thomas B.	Northrop Grumman			m-W
Fazio / Vic	Northrop Grumman			m-W
Felsinger / Donald E.	Northrop Grumman			m-W
Frank / Stephen E.	Northrop Grumman			m-W
Frost / Phillip	Northrop Grumman			m-W
Gordon / Bruce S.	Northrop Grumman			m-B
Kleiner / Madeleine	Northrop Grumman			f-W
Krapek / Karl J.	Northrop Grumman			m-W
Myers / Richard B.	Northrop Grumman			m-W
Peters / Aulana L.	Northrop Grumman			f-B
Sharer / Kevin W.	Northrop Grumman			m-W
Barshefsky / Charlene	Intel			f-W
Decker / Susan L.	Intel			f-W
Donahoe / John J.	Intel			m-W
Hundt / Reed E.	Intel			m-W
Moore / Gordon	Intel			m-W
Otellini / Paul S.	Intel			m-W
Plummer / James D.	Intel			m-W
Pottruck / David S.	Intel			m-W
Shaw / Jane E.	Intel			f-W
Yeary / Frank D.	Intel			m-W
Yoffie / David B.	Intel			m-W
Bertolini / Mark T.	Aetna			m-W
Clark / Frank M.	Aetna			m-B
Cohen / Betsy Z.	Aetna			f-W
Coye / Molly Joel	Aetna			f-W
Farah / Roger N.	Aetna			m-W
Franklin / Barbara Hackman	Aetna			f-W
Garten / Jeffrey E.	Aetna			m-W
Graves / Earl G. Jr.	Aetna			m-B
Greenwald / Gerald	Aetna			m-W
Hancock / Ellen M.	Aetna			f-W
Harrington / Richard J.	Aetna			m-W
Ludwig / Edward J.	Aetna			m-W
Newhouse / Joseph P.	Aetna			m-W
Rowe / John W.	Aetna			m-W
Williams / Ronald A.	Aetna			m-B
Alwine / Betty C.	New York Life			f-W
Baylis / Robert M.	New York Life			m-W
De la Vega / Ralph	New York Life			m-L
Feidler / Mark L.	New York Life			m-W
Foster / Kent B.	New York Life			m-W
Gold / Christina A.	New York Life			f-W
Harper / Conrad K.	New York Life			m-B
Mathas / Theodore A.	New York Life			m-W
Moser / S. Thomas	New York Life			m-W
Prueher / Joseph W.	New York Life			m-W
Shievelbein / Thomas C.	New York Life			m-W
Walter / William G.	New York Life			m-W
Wendlandt / Gary E.	New York Life			m-W
Baltimore / Thomas J. Jr.	Prudential Financial			m-B
Bethune / Gordon M.	Prudential Financial			m-W
Caperton / Gaston III	Prudential Financial			m-W
Casellas / Gilbert	Prudential Financial			m-L
Cullen / James G.	Prudential Financial			m-W
Gray / William H. III	Prudential Financial			m-B
Grier / Mark B.	Prudential Financial			m-W
Hanson / Jon F.	Prudential Financial			m-W
Horner / Constance J.	Prudential Financial			f-W
Hund-Mejean / Martina	Prudential Financial			f-W
Krapek / Karl J.	Prudential Financial			m-W
Poon / Christine A.	Prudential Financial			f-A
Strangfeld / John R. Jr.	Prudential Financial			m-W
Unruh / James A.	Prudential Financial			m-W
Blount / W. Frank	Caterpillar			m-W
Brazil / John R.	Caterpillar			m-W
Dickinson / Daniel M.	Caterpillar			m-W
Dillon / John T.	Caterpillar			m-W
Fife / Eugene V.	Caterpillar			m-W
Fosler / Gail D.	Caterpillar			f-W
Gallardo / Juan	Caterpillar			m-L
Goode / David R.	Caterpillar			m-W
Magowan / Peter A.	Caterpillar			m-W
Oberhelman / Douglas R.	Caterpillar			m-W
Osborn / William A.	Caterpillar			m-W
Powell / Charles D.	Caterpillar			m-W
Rust / Edward B. Jr.	Caterpillar			m-W
Schwab / Susan C.	Caterpillar			f-W
Smith / Joshua I.	Caterpillar			m-B
Bennett / Robert R.	Sprint Nextel			m-W
Bethune / Gordon M.	Sprint Nextel			m-W
Conway / William Jr.	Sprint Nextel			m-W
Glasscock / Larry C.	Sprint Nextel			m-W
Hance / James H. Jr.	Sprint Nextel			m-W
Hesse / Daniel R.	Sprint Nextel			m-W
Hill / Janet	Sprint Nextel			f-B
Ianna / Frank	Sprint Nextel			m-W
Nilsson / Sven-Christer	Sprint Nextel			m-W
Nuti / William R.	Sprint Nextel			m-W
O'Neal / Rodney	Sprint Nextel			m-B
Ackerman / F. Duane	Allstate			m-W
Beyer / Robert D.	Allstate			m-W
Farrell / W. James	Allstate			m-W
Greenberg / Jack M.	Allstate			m-W
Lemay / Ronald T.	Allstate			m-W
Redmond / Andrea	Allstate			f-W
Reyes / J. Christopher	Allstate			m-W
Riley / H. John Jr.	Allstate			m-W
Rowe / John W.	Allstate			m-W
Smith / Joshua I.	Allstate			m-B
Sprieser / Judith A.	Allstate			f-W
Taylor / Mary Alice	Allstate			f-W
Wilson / Thomas J.	Allstate			m-W
Chabraja / Nicholas D.	General Dynamics			m-W
Crown / James S.	General Dynamics			m-W
Fricks / William P.	General Dynamics			m-W
Johnson / Jay L.	General Dynamics			m-W
Joulwan / George A.	General Dynamics			m-M
Kaminski / Paul G.	General Dynamics			m-W
Keane / John M.	General Dynamics			m-W
Lyles / Lester L.	General Dynamics			m-B
Osborn / William A.	General Dynamics			m-W
Reyes / J. Christopher	General Dynamics			m-W
Walmsley / Robert	General Dynamics			m-W
Bostock / Roy J.	Morgan Stanley			m-W
Bowles / Erskine B.	Morgan Stanley			m-W
Davies / Howard J.	Morgan Stanley			m-W
Gorman / James P.	Morgan Stanley			m-W
Hance / James H. Jr.	Morgan Stanley			m-W
Hirano / Nobuyuki	Morgan Stanley			m-A
Kidder / C. Robert	Morgan Stanley			m-W
Mack / John J.	Morgan Stanley			m-W
Nicolaisen / Donald T.	Morgan Stanley			m-W
Olayan / Hutham S.	Morgan Stanley			f-M
Sexton / O. Griffith	Morgan Stanley			m-W
Tyson / Laura D.	Morgan Stanley			f-W
Babcock / Michael J.	Liberty Mutual Insurance Group			m-W
Butler / Gary C.	Liberty Mutual Insurance Group			m-W
Clough / Charles I. Jr.	Liberty Mutual Insurance Group			m-W
Countryman / Gary L.	Liberty Mutual Insurance Group			m-W
Donofrio / Nicholas M.	Liberty Mutual Insurance Group			m-W
Doyle / Francis A. III	Liberty Mutual Insurance Group			m-W
Hamill / John P.	Liberty Mutual Insurance Group			m-W
Heard / Marian L.	Liberty Mutual Insurance Group			f-B
Kelly / Edmund F.	Liberty Mutual Insurance Group			m-W
Long / David H.	Liberty Mutual Insurance Group			m-W
Long / T. Michael	Liberty Mutual Insurance Group			m-W
Manning / John P.	Liberty Mutual Insurance Group			m-W
May / Thomas J.	Liberty Mutual Insurance Group			m-W
Rudnick / Ellen A.	Liberty Mutual Insurance Group			f-W
Slark / Martin P.	Liberty Mutual Insurance Group			m-W
Van Faasen / William C.	Liberty Mutual Insurance Group			m-W
Verschuren / Annette M.	Liberty Mutual Insurance Group			f-W
Allen / Herbert A. Jr.	Coca-Cola			m-B
Allen / Ronald W.	Coca-Cola			m-W
Black / Cathleen P.	Coca-Cola			f-W
Buffett / Howard G.	Coca-Cola			m-W
Diller / Barry	Coca-Cola			m-W
Herman / Alexis M.	Coca-Cola			f-B
Kent / Ahmet Muhtar	Coca-Cola			m-M
Keough / Donald R.	Coca-Cola			m-W
Lagomasino / Maria Elena	Coca-Cola			f-L
McHenry / Donald F.	Coca-Cola			m-B
Nunn / Samuel A.	Coca-Cola			m-W
Robinson / James D. III	Coca-Cola			m-W
Ueberroth / Peter	Coca-Cola			m-W
Wallenberg / Jacob	Coca-Cola			m-W
Williams / James B.	Coca-Cola			m-W
D'Amelio / Frank A.	Humana			m-W
Dunbar / W. Roy	Humana			m-B
Hilzinger / Kurt J.	Humana			m-W
Jones / David A. Jr.	Humana			m-W
McCallister / Michael B.	Humana			m-W
McDonald / William J.	Humana			m-W
Mitchell / William E.	Humana			m-W
Nash / David B.	Humana			m-W
O'Brien / James J.	Humana			m-W
Petersen / Marissa T.	Humana			f-A
Reynolds / W. Ann	Humana			f-W
Bethune / Gordon M.	Honeywell International			m-W
Burke / Kevin	Honeywell International			m-W
Chico Pardo / Jaime	Honeywell International			m-L
Cote / David M.	Honeywell International			m-W
Davis / D. Scott	Honeywell International			m-W
Deily / Linnet F.	Honeywell International			f-W
Hollick / Clive R.	Honeywell International			m-W
Paz / George	Honeywell International			m-L
Sheares / Bradley T.	Honeywell International			m-B
Wright / Michael W.	Honeywell International			m-W
Alpern / Robert J.	Abbott Laboratories			m-W
Austin / Roxanne S.	Abbott Laboratories			f-L
Daley / William M.	Abbott Laboratories			m-W
Farrell / W. James	Abbott Laboratories			m-W
Fuller / H. Laurance	Abbott Laboratories			m-W
Liddy / Edward M.	Abbott Laboratories			m-W
Novakovic / Phebe N.	Abbott Laboratories			f-W
Osborn / William A.	Abbott Laboratories			m-W
Owen / David	Abbott Laboratories			m-W
Roberts / Roy S.	Abbott Laboratories			m-B
Scott / Samuel C. III	Abbott Laboratories			m-B
Smithburg / William D.	Abbott Laboratories			m-W
Tilton / Glenn F.	Abbott Laboratories			m-W
White / Miles D.	Abbott Laboratories			m-W
Aznar / Jose Maria	News Corp.			m-L
Bancroft / Natalie	News Corp.			f-W
Barnes / Peter	News Corp.			m-W
Carey / Chase	News Corp.			m-W
Cowley / Ken	News Corp.			m-W
Devoe / David F.	News Corp.			m-W
Dinh / Viet D.	News Corp.			m-A
Eddington / Roderick I.	News Corp.			m-W
Knight / Andrew	News Corp.			m-W
Murdoch / James R.	News Corp.			m-W
Murdoch / K. Rupert	News Corp.			m-W
Murdock / Lachlan K.	News Corp.			m-W
Perkins / Thomas J.	News Corp.			m-W
Shuman / Stanley S.	News Corp.			m-W
Siskind / Arthur M.	News Corp.			m-W
Thornton / John L.	News Corp.			m-W
Birosak / Chirstopher J.	HCA			m-W
Bracken / Richard M.	HCA			m-W
Connaughton / John	HCA			m-W
Forbes / James	HCA			m-W
Freeman / Kenneth W.	HCA			m-W
Frist / Thomas F. III	HCA			m-W
Frist / Thomas Jr.	HCA			m-W
Frist / William R.	HCA			m-W
Gordon / Christopher R.	HCA			m-W
Holliday / Charles O. Jr.	HCA			m-W
Johnson / R. Milton	HCA			m-W
Kravis / Henry R.	HCA			m-W
Michelson / Michael W.	HCA			m-W
Momtazee / James C.	HCA			m-W
Pagliuca / Stephen G.	HCA			m-W
Thorne / Nathan C.	HCA			m-W
Casciato / Chris	Sunoco			m-W
Edwards / Gary W.	Sunoco			m-W
Elsenhans / Lynn Laverty	Sunoco			f-W
Fairbairn / Ursula O.	Sunoco			f-W
Greco / Rosemarie B.	Sunoco			f-W
Jones / John Paul III	Sunoco			m-W
Kaiser / James G.	Sunoco			m-B
Rowe / John W.	Sunoco			m-W
Wulff / John K.	Sunoco			m-W
Bodman / Samuel W.	Hess			m-W
Brady / Nicholas F.	Hess			m-W
Hess / John B.	Hess			m-W
Hill / Gregory P.	Hess			m-W
Holiday / Edith E.	Hess			f-W
Kean / Thomas H.	Hess			m-W
Lavizzo-Mourey / Risa J.	Hess			f-B
Matthews / Craig G.	Hess			m-W
Mullien / John H. III	Hess			m-W
Olson / Frank A.	Hess			m-W
von Metzsch / Ernst H.	Hess			m-W
Walker / F. Borden	Hess			m-W
Wilson / Robert N.	Hess			m-W
Atkins / Howard I.	Ingram Micro			m-W
Heisz / Leslie	Ingram Micro			f-W
Ingram / John R.	Ingram Micro			m-W
Ingram / Martha	Ingram Micro			f-W
Ingram / Orrin H. II	Ingram Micro			m-W
Laurance / Dale R.	Ingram Micro			m-W
Levinson / Linda Fayne	Ingram Micro			f-W
McGregor / Scott A.	Ingram Micro			m-W
Smith / Michael T.	Ingram Micro			m-W
Spierkel / Gregory M. E.	Ingram Micro			m-W
Wyatt / Joe B.	Ingram Micro			m-W
Beresford / Dennis R.	Fannie Mae			m-W
Forrester / William T.	Fannie Mae			m-W
Gaines / Brenda J.	Fannie Mae			f-B
Goins / Charlynn	Fannie Mae			f-B
Harvey / Frederick Barton	Fannie Mae			m-W
Korologos / Ann McLaughlin	Fannie Mae			f-W
Laskaway / Philip A.	Fannie Mae			m-W
Perry / Egbert L. J.	Fannie Mae			m-B
Plutzik / Jonathan	Fannie Mae			m-W
Sidwell / David H.	Fannie Mae			m-W
Williams / Michael J.	Fannie Mae			m-W
Barksdale / James L.	Time Warner			m-W
Barr / William P.	Time Warner			m-W
Bewkes / Jeffrey L.	Time Warner			m-W
Bollenbach / Stephen F.	Time Warner			m-W
Case / Steve	Time Warner			m-W
Caufield / Frank J.	Time Warner			m-W
Clark / Robert C.	Time Warner			m-W
Dopfner / Mathias	Time Warner			m-W
Einhorn / Jessica P.	Time Warner			f-W
Hassan / Fred	Time Warner			m-A
Novack / Kenneth J.	Time Warner			m-W
Wright / Deborah C.	Time Warner			f-B
Abney / David P.	Johnson Controls			m-W
Archer / Dennis W.	Johnson Controls			m-B
Barnett / Robert L.	Johnson Controls			m-W
Black / Natalie A.	Johnson Controls			f-W
Cornog / Robert A.	Johnson Controls			m-W
Goodman / Richard	Johnson Controls			m-W
Joerres / Jeffrey A.	Johnson Controls			m-W
Lacy / William H.	Johnson Controls			m-W
Morcott / Southwood J.	Johnson Controls			m-W
Reyes-Retana / Eugenio	Johnson Controls			m-L
Roell / Stephen A.	Johnson Controls			m-W
Anderson / Richard H.	Delta Air Lines			m-W
Bastian / Edward H.	Delta Air Lines			m-W
Bostock / Roy J.	Delta Air Lines			m-W
Brinzo / John S.	Delta Air Lines			m-W
Carp / Daniel A.	Delta Air Lines			m-W
Engler / John M.	Delta Air Lines			m-W
Foret / Mickey P.	Delta Air Lines			m-W
Goode / David R.	Delta Air Lines			m-W
Reynolds / Paula Rosput	Delta Air Lines			f-W
Slater / Rodney E.	Delta Air Lines			m-B
Steenland / Douglas M.	Delta Air Lines			m-W
Woodrow / Kenneth B.	Delta Air Lines			m-W
Bertolini / Robert J.	Merck			m-W
Brun / Leslie A.	Merck			m-B
Cech / Thomas R.	Merck			m-W
Clark / Richard T.	Merck			m-W
Glocer / Thomas H.	Merck			m-W
Goldstone / Steven F.	Merck			m-W
Harrison / William B. Jr.	Merck			m-W
Jacobson / Harry R.	Merck			m-W
Kelley / Willam N.	Merck			m-W
Kidder / C. Robert	Merck			m-W
Lazarus / Rochelle B.	Merck			f-W
Represas / Carlos E.	Merck			m-L
Russo / Patricia F.	Merck			f-W
Shenk / Thomas E.	Merck			m-W
Tatlock / Anne M.	Merck			f-W
Thompson / Craig B.	Merck			m-W
Weeks / Wendell P.	Merck			m-W
Wendell / Peter C.	Merck			m-W
Bodman / Samuel W.	DuPont			m-W
Bowler / Mary E.	DuPont			f-W
Brown / Richard H.	DuPont			m-W
Brown / Robert A.	DuPont			m-W
Collomb / Bertrand P.	DuPont			m-W
Crawford / Curtis J.	DuPont			m-B
Cutler / Alexander M.	DuPont			m-W
Dillon / John T.	DuPont			m-W
Du Pont / Eleuthere I.	DuPont			m-W
Hewson / Marillyn A.	DuPont			f-W
Holliday / Charles O. Jr.	DuPont			m-W
Juliber / Lois D.	DuPont			f-W
Kullman / Ellen J.	DuPont			f-W
Reilly / William K.	DuPont			m-W
Hackley / Lloyd V.	Tyson Foods			m-B
Kever / Jim D.	Tyson Foods			m-W
Mcnamara / Kevin M.	Tyson Foods			m-W
Sauer / Brad T.	Tyson Foods			m-W
Thurber / Robert C.	Tyson Foods			m-W
Tyson / Barbara	Tyson Foods			f-W
Tyson / Donald J.	Tyson Foods			m-W
Tyson / John H.	Tyson Foods			m-W
Zapanta / Albert C.	Tyson Foods			m-L
Akerson / Daniel F.	American Express			m-W
Barshefsky / Charlene	American Express			f-W
Burns / Ursula M.	American Express			f-B
Chenault / Kenneth I.	American Express			m-B
Chernin / Peter	American Express			m-W
Leonsis / Theodore	American Express			m-W
Leschly / Jan	American Express			m-W
Levin / Richard C.	American Express			m-W
Mcginn / Richard A.	American Express			m-W
Miller / Edward D.	American Express			m-W
Reinemund / Steven S.	American Express			m-W
Walter / Robert D.	American Express			m-W
Williams / Ronald A.	American Express			m-B
Anderson / Joseph B. Jr.	Rite Aid			m-B
Belzile / Andre	Rite Aid			m-W
Coutu / Francois J.	Rite Aid			m-W
Coutu / Michel	Rite Aid			m-W
Donald / James	Rite Aid			m-W
Jessick / David	Rite Aid			m-W
Miller / Robert Gerald	Rite Aid			m-W
Regan / Michael N.	Rite Aid			m-W
Sammons / Mary F.	Rite Aid			f-W
Satre / Philip G.	Rite Aid			m-W
Sokoloff / Jonathan D.	Rite Aid			m-W
Standley / John T.	Rite Aid			m-W
Syms / Marcy	Rite Aid			f-W
Wood / Dennis	Rite Aid			m-W
Berkley / Forrest	TIAA-CREF			m-W
Broad / Molly C.	TIAA-CREF			f-W
Brown / Jeffrey Robert	TIAA-CREF			m-W
Clark / Robert C.	TIAA-CREF			m-W
Cowen / Scott S.	TIAA-CREF			m-W
Eckl / Nancy A.	TIAA-CREF			f-W
Ferguson / Roger W. Jr.	TIAA-CREF			m-B
Flood / Eugene Jr.	TIAA-CREF			m-B
Forrester / Michael A.	TIAA-CREF			m-W
Hess / Lisa W.	TIAA-CREF			f-W
Hundert / Edward M.	TIAA-CREF			f-W
Jackson / Howell E.	TIAA-CREF			m-W
Jacob / Nancy L.	TIAA-CREF			f-W
Killingsworth / Cleve L. Jr.	TIAA-CREF			m-B
Linden / Lawrence H.	TIAA-CREF			m-W
Macaskill / Bridget A.	TIAA-CREF			f-W
McPherson / Michael S.	TIAA-CREF			m-W
O'Hara / Maureen	TIAA-CREF			f-W
Peterson / Donald K.	TIAA-CREF			m-W
Poterba / James M.	TIAA-CREF			m-W
Ribeau / Sidney A.	TIAA-CREF			m-B
Robinson / Dorothy K.	TIAA-CREF			f-W
Shedlarz / David L.	TIAA-CREF			m-W
Sloan / Maceo K.	TIAA-CREF			m-B
Starks / Laura T.	TIAA-CREF			f-W
Swensen / David F.	TIAA-CREF			m-W
Thier / Samuel O.	TIAA-CREF			m-W
Thompson / Ronald L.	TIAA-CREF			m-B
Tienda / Marta	TIAA-CREF			f-L
Townsend / Alair A.	TIAA-CREF			f-W
Wolf / Rosalie J.	TIAA-CREF			f-W
Anderson / Bruce	CHS			m-W
Anthony / Donald	CHS			m-W
Bass / Robert	CHS			m-W
Bielenberg / David	CHS			m-W
Blew / Clinton	CHS			m-W
Carlson / Dennis	CHS			m-W
Eischens / Curt	CHS			m-W
Fritel / Steven	CHS			m-W
Hasnedl / Jerry	CHS			m-W
Kayser / David	CHS			m-W
Knecht / Randy	CHS			m-W
Kruger / Greg	CHS			m-W
Mulcahey / Michael	CHS			m-W
Owen / Richard	CHS			m-W
Riegel / Steve	CHS			m-W
Schurr / Daniel	CHS			m-W
Toelle / Michael	CHS			m-W
Andras / O. S.	Enterprise GP Holdings			m-W
Andress / Thurmon M.	Enterprise GP Holdings			m-W
Bachmann / Richard H.	Enterprise GP Holdings			m-W
Creel / Michael A.	Enterprise GP Holdings			m-W
Cunningham / Ralph S.	Enterprise GP Holdings			m-W
Duncan / Dan L.	Enterprise GP Holdings			m-W
Fowler / W. Randall	Enterprise GP Holdings			m-W
McMahen / Charles E.	Enterprise GP Holdings			m-W
Smith / Edwin E.	Enterprise GP Holdings			m-W
Teague / A. James	Enterprise GP Holdings			m-W
Williams / Randa Duncan	Enterprise GP Holdings			f-W
Barry / Thomas Corcoran	Massachusetts Mutual Life Insurance			m-W
Corbet / Kathleen A.	Massachusetts Mutual Life Insurance			f-W
Crandall / Roger W.	Massachusetts Mutual Life Insurance			m-W
